# JD   5-sigma-depth
6.021928607708329946e+04 2.183785753280019648e+01
6.023100333026838052e+04 2.370523458244256432e+01
6.024300278313264425e+04 2.308223009651239366e+01
6.024705150521999167e+04 2.321190635766213717e+01
6.043841417224214820e+04 2.370358470651314420e+01
6.044339424633889575e+04 2.368956840055176016e+01
6.046634323777005193e+04 2.404764227417731348e+01
6.048632851997217949e+04 2.331820155875123035e+01
6.052515152736943855e+04 2.380906497499793062e+01
6.052910735466192273e+04 2.342650385249728373e+01
6.054015240486325638e+04 2.276089433422401953e+01
6.054015375889604911e+04 2.275527317293663288e+01
6.054807627933657204e+04 2.371033120683549456e+01
6.056600005214632256e+04 2.324949324437160314e+01
6.057310612101741572e+04 2.298237283205965298e+01
6.058908722477549600e+04 2.376600833429196769e+01
6.060100807561015245e+04 2.363441000365004641e+01
6.060102426455246314e+04 2.335309332223125622e+01
6.060401707377456478e+04 2.390187816113337504e+01
6.060803412728723197e+04 2.375231040458871945e+01
6.060803458957957628e+04 2.373243601976751904e+01
6.090106290344904119e+04 2.351219945504345077e+01
6.090327994863250206e+04 2.345554125331270257e+01
6.091407411270012381e+04 2.376498615460061004e+01
6.092098650033432205e+04 2.256281658575246496e+01
6.117234381807420868e+04 2.392868448872800258e+01
6.118128505633059103e+04 2.387677441183348037e+01
6.119436285450087598e+04 2.264526824558213391e+01
6.119533473928602325e+04 2.312426852017960144e+01
6.121520088446090085e+04 2.345240569559209831e+01
6.121527080515073612e+04 2.351651669542593837e+01
6.122436005195507460e+04 2.278635616748700699e+01
6.122640936441731901e+04 2.304761800990733889e+01
6.122710100807200070e+04 2.317336305364713667e+01
6.122710190253168548e+04 2.313938582228065499e+01
6.122826872027624631e+04 2.320950446302095571e+01
6.122829421620885114e+04 2.313329868503650388e+01
6.123429616827113932e+04 2.342990931357940099e+01
6.125809238380048919e+04 2.372608201156990049e+01
6.125814145631855354e+04 2.374465925283464429e+01
6.126010328041890898e+04 2.385871092165761453e+01
6.126010373361179518e+04 2.385870798166500251e+01
6.126310253603772435e+04 2.351471610276064084e+01
6.126715049436638947e+04 2.348990347530995848e+01
6.127118404917906446e+04 2.380626645906768957e+01
6.127306290487063234e+04 2.364958606058820578e+01
6.129399920415682573e+04 2.372790852163952735e+01
6.129409090675990592e+04 2.381452040326184871e+01
6.129416581048513763e+04 2.380766216638196653e+01
6.129702555675067561e+04 2.391796443331281807e+01
6.130002714776032371e+04 2.368465469662262990e+01
6.130200444867282931e+04 2.336607389259069834e+01
