# JD   5-sigma-depth
6.022100596272968687e+04 2.332992238735951318e+01
6.022299522078419250e+04 2.320714132378516581e+01
6.022399881493301655e+04 2.336465593859356460e+01
6.042841689676752139e+04 2.272934886215178807e+01
6.047642824227664823e+04 2.278361421883790072e+01
6.048844059513387037e+04 2.226380649020402203e+01
6.048937887691587093e+04 2.238826321895929539e+01
6.051835045917199022e+04 2.272365189632056826e+01
6.054326165309781936e+04 2.273545784718539409e+01
6.054726855046480341e+04 2.315239881944239997e+01
6.057201627801673749e+04 2.283590252983776381e+01
6.057303180280931701e+04 2.293472441254444050e+01
6.060606642561165791e+04 2.313519267103007948e+01
6.062601962435262976e+04 2.248647867578860016e+01
6.082931803324391512e+04 2.233220383015814292e+01
6.085819840976045816e+04 2.290986089428926320e+01
6.085920317235549737e+04 2.277149978720556334e+01
6.086239837477441324e+04 2.281353000127304043e+01
6.087136920548689523e+04 2.260078897747710869e+01
6.087138064193547325e+04 2.273274817235686029e+01
6.089928250827890588e+04 2.280338295469030641e+01
6.089929674160572904e+04 2.268538480312982131e+01
6.089929810651068692e+04 2.272622848277503138e+01
6.090028032966885075e+04 2.309791881601393015e+01
6.092929908701840031e+04 2.235025267184235531e+01
6.094802903501436231e+04 2.271570510069228988e+01
6.095298916932898283e+04 2.241185379067606220e+01
6.095420848946615297e+04 2.218198666480276415e+01
6.095420893889870058e+04 2.222961159757698368e+01
6.095713458530091157e+04 2.275544848852451807e+01
6.095714888072757458e+04 2.277660805594038962e+01
6.098708748723912868e+04 2.320735458833036091e+01
6.098800688567567704e+04 2.282469928031083839e+01
6.098805616128529800e+04 2.299978186285459358e+01
6.122643572932679672e+04 2.255029508302122210e+01
6.122736730180143786e+04 2.275128839265555314e+01
6.125428661989244574e+04 2.248698075507121885e+01
6.125537631048266485e+04 2.239391501236170257e+01
6.130303068752650870e+04 2.321875071131239565e+01
6.133607229059538804e+04 2.283242662412419222e+01
6.133807695309390692e+04 2.275787512918580191e+01
6.134010499413992511e+04 2.305121937039046287e+01
6.136507764003055490e+04 2.267867233371993052e+01
6.158340168960366282e+04 2.276573883093651318e+01
6.159641963278331968e+04 2.261771875957664690e+01
6.160035315711403382e+04 2.308916237110395642e+01
6.160833916002706246e+04 2.262710640048770472e+01
6.160840563249051775e+04 2.219334184794540121e+01
6.160933319231640053e+04 2.221418743426210085e+01
6.161036331043619430e+04 2.235437285243166627e+01
6.161037803497335699e+04 2.253213303774955634e+01
6.161143560398511909e+04 2.224348843776895279e+01
6.162629813187498075e+04 2.321403895417446250e+01
6.163016624142953515e+04 2.268787768243102221e+01
6.163826887008253834e+04 2.281949338208441347e+01
6.163829301520140871e+04 2.246728609962673318e+01
6.163927570786787692e+04 2.260155785090423564e+01
6.164228293549625232e+04 2.239321512342054987e+01
6.166298311811660096e+04 2.123142458467787819e+01
6.166303413165355596e+04 2.129387416400759747e+01
6.166502318766665121e+04 2.235976688355458464e+01
6.166502454012700036e+04 2.230476636300840454e+01
6.166803311664301145e+04 2.284611233173400180e+01
6.167003520270176523e+04 2.300509062505626900e+01
6.169313194394275342e+04 2.229175086107079906e+01
6.169314946774722193e+04 2.255851393379547076e+01
6.169616544116289879e+04 2.255986451275661153e+01
6.169616588548662548e+04 2.255584385542765347e+01
6.171907577963966469e+04 2.249972915020840958e+01
6.172409324219043629e+04 2.222458599512258814e+01
6.186741084611022961e+04 2.277758664228810659e+01
6.186741129589053890e+04 2.269493646764324168e+01
6.187640837776660919e+04 2.271527338403496543e+01
6.196539534888028720e+04 2.236079985500331802e+01
6.202123649879160075e+04 2.271452506136324700e+01
6.204718325397550507e+04 2.183527737654478074e+01
6.204820795921058743e+04 2.261595481223038462e+01
6.231225554165220819e+04 2.237106837707836249e+01
6.232243857641094655e+04 2.267733952878674941e+01
6.233933672044012201e+04 2.292660739191071428e+01
6.233935829936024675e+04 2.274701867241208930e+01
6.234633902637629217e+04 2.236278564405882108e+01
6.237421508830127277e+04 2.233250487919443117e+01
6.237637810824176267e+04 2.177847508163452872e+01
6.239402843012299127e+04 2.304809076029730264e+01
6.239418325408589590e+04 2.309657197199942757e+01
6.240003184566857817e+04 2.207806977260854708e+01
6.240202916901165736e+04 2.273777897191487796e+01
6.240224701932342577e+04 2.205843488789439277e+01
6.240227000652469724e+04 2.173683396054920891e+01
6.240513815263460128e+04 2.239655547502074384e+01
6.242908637714854558e+04 2.275966315175343979e+01
6.242910889960066561e+04 2.265324852501755970e+01
6.242910934767869912e+04 2.254106297183484742e+01
6.245602149379768525e+04 2.280406451370453880e+01
6.245911982954430277e+04 2.209822415957441777e+01
6.257440870335662476e+04 2.097400111433399772e+01
6.257839818886322610e+04 2.205378541989876950e+01
6.260239063842740870e+04 2.228029267750483200e+01
6.260639821877015493e+04 2.213601222722801509e+01
6.260741396188280487e+04 2.252248655707350977e+01
6.261134311280506518e+04 2.209026106917565713e+01
6.267327495634849765e+04 2.221651643455516378e+01
6.270231844677329354e+04 2.258336477114758623e+01
6.270231890687959094e+04 2.257010017113657341e+01
6.270239904687724629e+04 2.215027478130893002e+01
6.270337372732156655e+04 2.241147155273463909e+01
6.272830459717568010e+04 2.204899553433715198e+01
6.274923622748960042e+04 2.258720193739841875e+01
6.278512746759867878e+04 2.175328652612638791e+01
6.281502220038042287e+04 2.273546717272246553e+01
