# JD   5-sigma-depth
6.040935321346557612e+04 2.383473050664844450e+01
6.040935445270227501e+04 2.389741978175219117e+01
6.043310209509972628e+04 2.393825519245721622e+01
6.043311051153790322e+04 2.386240357696757997e+01
6.043429187786924740e+04 2.340663311830171267e+01
6.046719938299591740e+04 2.339749201946567325e+01
6.046720393484501983e+04 2.358750394566383690e+01
6.076235874323956523e+04 2.394799846157295420e+01
6.076728024130376434e+04 2.401583544196901698e+01
6.079125376962970040e+04 2.378342868967208190e+01
6.079317968574896804e+04 2.348436439112547092e+01
6.079612798164183914e+04 2.379290875433021668e+01
6.082507852493588871e+04 2.377396138677411486e+01
6.111723697210134560e+04 2.367895439672492586e+01
6.114231710402946919e+04 2.410963742268129550e+01
6.114635723653365858e+04 2.356624331620282575e+01
6.117324163041439897e+04 2.362897062853230779e+01
6.117725269861925335e+04 2.352261438230814861e+01
6.126103627428584878e+04 2.369860107686451656e+01
6.126203586987707240e+04 2.354653735281885218e+01
6.126699421710724710e+04 2.295113457378248611e+01
6.126699463251265843e+04 2.294391054707362798e+01
6.146833958045193867e+04 2.404509901898930124e+01
6.146834143382564071e+04 2.403470589692695114e+01
6.155715042729723791e+04 2.383936651640670235e+01
6.158499379656257224e+04 2.369880824784305062e+01
6.185527916168580850e+04 2.359276596212455956e+01
6.188230731500246475e+04 2.396912352362544496e+01
6.188231033118578489e+04 2.395578950314871491e+01
6.188231994407511957e+04 2.403572838766170960e+01
6.188312821658729081e+04 2.406006375579931955e+01
6.191810991218665004e+04 2.341556698653064927e+01
6.193897643051837076e+04 2.326982127426176561e+01
6.194311485259670735e+04 2.344371450084585362e+01
6.200400120955352031e+04 2.342693304985216329e+01
6.224121402141232102e+04 2.345013363160989428e+01
6.224121446355792432e+04 2.345188831354009551e+01
6.256137202405840799e+04 2.345442178638102959e+01
6.259218311719301710e+04 2.360140790342989447e+01
6.259623662523568055e+04 2.351588286262115446e+01
6.259623748934741161e+04 2.350126386472966900e+01
6.262407513007821399e+04 2.315227539910260290e+01
6.264705722996819532e+04 2.319264114339734562e+01
6.292429743240820972e+04 2.371188324783297219e+01
6.292431486633115128e+04 2.341816601965405908e+01
6.301121827442812355e+04 2.378995204231265603e+01
6.336007638926199434e+04 2.325631092100334030e+01
6.336007763113899273e+04 2.327379902362858388e+01
6.338621611736609339e+04 2.296054593749665429e+01
6.338623797858393664e+04 2.299966045793317804e+01
6.366134054386593925e+04 2.409203138336658512e+01
6.368920590491974872e+04 2.337910611243631465e+01
6.369222117692553729e+04 2.367338358103091522e+01
6.371230303342583647e+04 2.333674796959197195e+01
6.371230390637901291e+04 2.332272730142350881e+01
6.374213972176556854e+04 2.343653508570949739e+01
6.380803998977755691e+04 2.366659085892992209e+01
