# JD   5-sigma-depth
6.022110434404596890e+04 2.450797491906981662e+01
6.022410579607439286e+04 2.426906214037513720e+01
6.022612593264313909e+04 2.425893899541236109e+01
6.022713551980364718e+04 2.379173648652868422e+01
6.022813290513212269e+04 2.427986832733950351e+01
6.025103863091406674e+04 2.417122579290150952e+01
6.052412463276138442e+04 2.352645790377738422e+01
6.052431707858799928e+04 2.387348557488702028e+01
6.052518764544738224e+04 2.424756145862365742e+01
6.053130220074274257e+04 2.426568007069565525e+01
6.054704714517547109e+04 2.436823370020578139e+01
6.055307408525505161e+04 2.448790480496750277e+01
6.055307453741545760e+04 2.450311301320760293e+01
6.057918456483844056e+04 2.428104375715063412e+01
6.059012942084696260e+04 2.415303225727674175e+01
6.060807268492100411e+04 2.405457956929584640e+01
6.061210725551380165e+04 2.387488262348557910e+01
6.085243906660916400e+04 2.382784839715349179e+01
6.090114057496056193e+04 2.376954845926481141e+01
6.091026209226851643e+04 2.405623776475108144e+01
6.091323817298723588e+04 2.411397835850320348e+01
6.093703548915867577e+04 2.410839982793911673e+01
6.093803445173679211e+04 2.426514759288789946e+01
6.121541401640190452e+04 2.411306628672609520e+01
6.121541447013818106e+04 2.409959870699956852e+01
6.122916924558394385e+04 2.394115128139547721e+01
6.123435414403308823e+04 2.390142746297570397e+01
6.123534146894387959e+04 2.376347452600501953e+01
6.124336025240335584e+04 2.430692145546223060e+01
6.124336070392446709e+04 2.428129142368899807e+01
6.125530601001811738e+04 2.318310446503110711e+01
6.125831328733969713e+04 2.379444972870846797e+01
6.126031431253423216e+04 2.376284130857830945e+01
6.126034930450683896e+04 2.376228500810825039e+01
6.126333356437036127e+04 2.375217817220427108e+01
6.126516245434933080e+04 2.402730677064440457e+01
6.127113346446570358e+04 2.431140231219140801e+01
6.129103119006203633e+04 2.378775831486098369e+01
6.129105776483858790e+04 2.415717546405892335e+01
6.129224771160900127e+04 2.401535519307883959e+01
6.129420879091555980e+04 2.426273181468884843e+01
6.129718901294251555e+04 2.436663588215618148e+01
6.131413530586845445e+04 2.406540219192741503e+01
6.132013598711772647e+04 2.437177275052251346e+01
6.132013645170015661e+04 2.436217563318983537e+01
6.134104838853279216e+04 2.434960242666399921e+01
6.134108082191140420e+04 2.337662280639928625e+01
6.134108127070901537e+04 2.344188728168960978e+01
6.134211727000354585e+04 2.313065444839500628e+01
6.134211861127258453e+04 2.274530407578628655e+01
6.134306926222357288e+04 2.347016292509987423e+01
6.135603490193290781e+04 2.426334711014820655e+01
6.135603624994191341e+04 2.422530271521871370e+01
6.135704234910216474e+04 2.413704154357956355e+01
6.135704325260499172e+04 2.409508603900757606e+01
6.135704369927191874e+04 2.409922617617698393e+01
6.150540929588447034e+04 2.385970746358793448e+01
6.152841558042378892e+04 2.370029509461845407e+01
6.152940988475529593e+04 2.419192767512917541e+01
6.153135457590186707e+04 2.401448876438026403e+01
6.156232227288086870e+04 2.406488573240290307e+01
6.161416778850202536e+04 2.352253445866722359e+01
6.193841748631832161e+04 2.376456902702724605e+01
6.193844219289497414e+04 2.330393654408636905e+01
6.193941319406512048e+04 2.421518081414902213e+01
6.194540725183146424e+04 2.382248868714715329e+01
6.195020951258350397e+04 2.393554007782510240e+01
6.197121926743374934e+04 2.446595755239917125e+01
6.197231405233477562e+04 2.427248755234389321e+01
6.197433424332855066e+04 2.373481991995516438e+01
6.197637409275538084e+04 2.361146781290127805e+01
6.199432052962797752e+04 2.315295176017707846e+01
6.200028814282289386e+04 2.383988570357327674e+01
6.200028951491903717e+04 2.360230422339211742e+01
6.200131910781370243e+04 2.366274771897325735e+01
6.200429592232777213e+04 2.363163889295524100e+01
6.201019867483014241e+04 2.408443287595802929e+01
6.202103676462847943e+04 2.426407946848234332e+01
6.202103855974888575e+04 2.413340729523686434e+01
6.202105992844444700e+04 2.375541846469317875e+01
6.202106133928445342e+04 2.382242387624793878e+01
6.202423675171070499e+04 2.350161232828079960e+01
6.202423720169020817e+04 2.355152580205680835e+01
6.202426271672022267e+04 2.320564750592058445e+01
6.202820563068958290e+04 2.405089524358096398e+01
6.202820653587095876e+04 2.399450045505664875e+01
6.203124358948122244e+04 2.393553763176382176e+01
6.203717554482100240e+04 2.399988351938832665e+01
6.206306271645832021e+04 2.415527422636482413e+01
6.206507157626689150e+04 2.410357737345049856e+01
6.208601047038688557e+04 2.357456894657941504e+01
