# JD   5-sigma-depth
6.021935779333657410e+04 2.177079457180521516e+01
6.021936772079475486e+04 2.180562314555823278e+01
6.022837387866966310e+04 2.181709003916490275e+01
6.022838513222146867e+04 2.108459815527652026e+01
6.023930874431836855e+04 2.218222012591695247e+01
6.024313122902901523e+04 2.198864935902834361e+01
6.027020907855446421e+04 2.214810592745592643e+01
6.029805682824213727e+04 2.167775877559805409e+01
6.029808184234076907e+04 2.221394467430549113e+01
6.032503730728283699e+04 2.162296819746422472e+01
6.032504917184518126e+04 2.226224575571885111e+01
6.033309301064468309e+04 2.172356647502857641e+01
6.048643091944987827e+04 2.203266728949314057e+01
6.054337015519053239e+04 2.202252867169448791e+01
6.054338034176544897e+04 2.218984636709465974e+01
6.056639242455369822e+04 2.239673703674147021e+01
6.057130512396593258e+04 2.209373263636225104e+01
6.057132854188626516e+04 2.201172455706790743e+01
6.057333518010963598e+04 2.198047705132337626e+01
6.059928819935736101e+04 2.159443694312265549e+01
6.059931136850205803e+04 2.160381782469631062e+01
6.062627104248299293e+04 2.173005442592350533e+01
6.062629407367631211e+04 2.131207988976965950e+01
6.062829236376869085e+04 2.200850109807736033e+01
6.065110340158936742e+04 2.194739086122545757e+01
6.065112621403571393e+04 2.202197494890105389e+01
6.065722011519855005e+04 2.182250046723745385e+01
6.065810895251404145e+04 2.199690662485128101e+01
6.065817295600532088e+04 2.173415933231578379e+01
6.068719328949903866e+04 2.176010149815699535e+01
6.095528750762285927e+04 2.178827429861449971e+01
6.095531065809335269e+04 2.209851202201960518e+01
6.101531131948612892e+04 2.080998685912028989e+01
6.127140081546664442e+04 2.239188306482333601e+01
6.127630621410269669e+04 2.161610858084707587e+01
6.127637975648458814e+04 2.192194594735623525e+01
6.130130576890915108e+04 2.212993761287325256e+01
6.130225034105449595e+04 2.096033719744012558e+01
6.130931618340500427e+04 2.219495338284206198e+01
6.130933932270753576e+04 2.219959799648749765e+01
6.133016459983386449e+04 2.221050542849937059e+01
6.133018788456657057e+04 2.199021192352240561e+01
6.133615079556216369e+04 2.207536485549556460e+01
6.133617379706708016e+04 2.210306559400704174e+01
6.133619314200687950e+04 2.195389854042111821e+01
6.133621624774475640e+04 2.191311066390597517e+01
6.133822263329513225e+04 2.201323752966391112e+01
6.136408737046048918e+04 2.221713754838030752e+01
6.136411103314040520e+04 2.219598394985545653e+01
6.136819280216453626e+04 2.170393161729434084e+01
6.138403105177536054e+04 2.160908106937743867e+01
6.138404347807915474e+04 2.208769720750875720e+01
6.139520453939400613e+04 2.171171349620622948e+01
6.139522826636615355e+04 2.156147373927154476e+01
6.139707641435589176e+04 2.216262622970024765e+01
6.139709956141336443e+04 2.209568578708690367e+01
6.139917689782779053e+04 2.154542470952658917e+01
6.140409421537165326e+04 2.193584460807419845e+01
6.140409798580239294e+04 2.172887747814927195e+01
6.142412765826378745e+04 2.153599444022982823e+01
6.142716258916558581e+04 2.165767133023273772e+01
6.142718562799370557e+04 2.121018239787932202e+01
6.154642277298404952e+04 2.146384748065619519e+01
6.160339634508567542e+04 2.162120999412082512e+01
6.160744150708486995e+04 2.136011053840675444e+01
6.169427854543778813e+04 2.191001276209872728e+01
6.169430285141871718e+04 2.190624805854677959e+01
6.177917040643383370e+04 2.151688564998474362e+01
6.198933091943446198e+04 2.189472853911422590e+01
6.201513682621149928e+04 2.129545735360464320e+01
6.201515972711659560e+04 2.143910490445153982e+01
6.201534056870255154e+04 2.200489978606404406e+01
6.201625563967371272e+04 2.154992848918181636e+01
6.201939281040156493e+04 2.170711064941904311e+01
6.204214813302180119e+04 2.162337721468044904e+01
6.204217109190888732e+04 2.194858410682356009e+01
6.204419669997574238e+04 2.185698434177562888e+01
6.204521624558388430e+04 2.165892427249763585e+01
6.204523986749518372e+04 2.167370250207033422e+01
6.204630049886558118e+04 2.158945077460561279e+01
6.207010269281434012e+04 2.209026357112513139e+01
6.207110258829598024e+04 2.211458895795860613e+01
6.207520113851960195e+04 2.175301692028743261e+01
6.207522428962355480e+04 2.193687541125985163e+01
6.209831056388623983e+04 2.158245154808470545e+01
6.209930491337388958e+04 2.152333032246998457e+01
6.210321709626235679e+04 2.182121013507609675e+01
6.210529521758556803e+04 2.149394775669400204e+01
6.210531342869041691e+04 2.137249003804179637e+01
6.210621174311742652e+04 2.132417402225414094e+01
6.213010243029096455e+04 2.150248987500292230e+01
6.213414890728312457e+04 2.190404449426878486e+01
6.213417182983423845e+04 2.166835226457155628e+01
6.216812693974701688e+04 2.138642907943022209e+01
6.243428994704345678e+04 2.187896718417133002e+01
6.243431276536591031e+04 2.184682689476589701e+01
6.248518001313847344e+04 2.175074015367449576e+01
6.248520275401489198e+04 2.157207133363923646e+01
6.272527289258372184e+04 2.185422414950071257e+01
6.272529601262100914e+04 2.191850641227985363e+01
6.272841390037972451e+04 2.172474785373195516e+01
6.275027541309766821e+04 2.198874838264041287e+01
6.275029863811201358e+04 2.203603662344246672e+01
6.275221359868277068e+04 2.205025826083023333e+01
6.275320836776536453e+04 2.169072815842467250e+01
6.275423223536935257e+04 2.206899960606054734e+01
6.275425536292643665e+04 2.213793556085518333e+01
6.275629743109660194e+04 2.177179888593004620e+01
6.278328704333365022e+04 2.218574182095009206e+01
6.278424531658269552e+04 2.194646608271996513e+01
6.278426839331797964e+04 2.192958921671424122e+01
6.281520976489635359e+04 2.171486060593263545e+01
6.281523315060281311e+04 2.194031580769360801e+01
6.282411644977953983e+04 2.165247409530204337e+01
6.283102466988351080e+04 2.192833373037773370e+01
6.283103669823043310e+04 2.216654925399895149e+01
6.283611205531869200e+04 2.162399710424354637e+01
6.283613545731694467e+04 2.156563499737584877e+01
6.283918380062402139e+04 2.202738799121170743e+01
6.283920698685060052e+04 2.180274446171272729e+01
6.284113989951179246e+04 2.185172395893443564e+01
6.284116332081647124e+04 2.166729991167672154e+01
6.284312584976162179e+04 2.152004311032353101e+01
6.284719515109722852e+04 2.194689606272303806e+01
6.284721765763118310e+04 2.187897230635310919e+01
6.286814565872515232e+04 2.183096875549192717e+01
6.286914438375241298e+04 2.203411340634085391e+01
6.287214425208386092e+04 2.168901850984015311e+01
6.289203918340915698e+04 2.213878958723165624e+01
6.289205090813740389e+04 2.212449550355532679e+01
6.290308358359392150e+04 2.165688803085970093e+01
6.290412736760243570e+04 2.152734386693331459e+01
6.308131624589615240e+04 2.124162310708124579e+01
6.308133940018607973e+04 2.125678945801039532e+01
6.310825224966192036e+04 2.158753923745699055e+01
6.311236039450980024e+04 2.171793550759405633e+01
6.313922007752789796e+04 2.167153288856128768e+01
6.313924621043363732e+04 2.163226818540793772e+01
6.316511279808811378e+04 2.187613432322906704e+01
6.316715771263100032e+04 2.204085346500667342e+01
6.316718139054677886e+04 2.204966024535030300e+01
6.319818867788719217e+04 2.182916527650261429e+01
6.319821165854833816e+04 2.156571525836968561e+01
6.322912806688216369e+04 2.198389619643514692e+01
6.325413638767589146e+04 2.124026270571185648e+01
6.346527297238310712e+04 2.181163713966044782e+01
6.349214343007482239e+04 2.172038952063788386e+01
6.349214433884680329e+04 2.158405420188945101e+01
6.349216643890978594e+04 2.161725153629765472e+01
6.349216734768176684e+04 2.156256427651239349e+01
6.349839380392419844e+04 2.151571703390132839e+01
6.352018505530027323e+04 2.195557308276820052e+01
6.354812639815657894e+04 2.186736805699996822e+01
6.354814953662319022e+04 2.191559421016273745e+01
6.355531309896937455e+04 2.175707620929804875e+01
6.355532321352759027e+04 2.164915995242574809e+01
6.357812776697988011e+04 2.218847675638689765e+01
6.358012743009105907e+04 2.216251470231343035e+01
6.360204006560546259e+04 2.102246263786698321e+01
6.360205195869828458e+04 2.129313962929219883e+01
6.361112133076223108e+04 2.174811945380731615e+01
6.361114436979665334e+04 2.176897745322219890e+01
6.361316879147743748e+04 2.175310695640930803e+01
6.379242031152517302e+04 2.201906181587554912e+01
6.381726033769811329e+04 2.120415553921976226e+01
6.381728373437037226e+04 2.097877786625767627e+01
6.382041141718045401e+04 2.144311620195254875e+01
6.384721061957649363e+04 2.104281442971900162e+01
6.384723328719315032e+04 2.120094759443629329e+01
6.384724403197976790e+04 2.137704417019731551e+01
6.384726696578666451e+04 2.175815783735611220e+01
