# JD   5-sigma-depth
6.041432030372400914e+04 2.409951950082035665e+01
6.041432165647104557e+04 2.388031118686768295e+01
6.046523929254961695e+04 2.447422643345243287e+01
6.049304402109159128e+04 2.412272699893490113e+01
6.049608083320257720e+04 2.445178398394145347e+01
6.051904008893476566e+04 2.442157171280990013e+01
6.052904569015074958e+04 2.427159927514684767e+01
6.057606034113008354e+04 2.437910426668094033e+01
6.082324036439493648e+04 2.399109111688522944e+01
6.084721285603990691e+04 2.427654191755572199e+01
6.087601653213125246e+04 2.450391794360886877e+01
6.090799377989068307e+04 2.413913761064447527e+01
6.091299705131365772e+04 2.444432511349834414e+01
6.112333399099584494e+04 2.447672561210744391e+01
6.117425615603569895e+04 2.478607552403983050e+01
6.126303253664194926e+04 2.440827019919789009e+01
6.155629278114128829e+04 2.431497586325088633e+01
6.155831242778438173e+04 2.426157560935356372e+01
6.158612362066343485e+04 2.489217398627522115e+01
6.158612453407912108e+04 2.485774856854671810e+01
6.159110389959861641e+04 2.409030693162281267e+01
6.159111630745552247e+04 2.410390003483360388e+01
6.161805603611426341e+04 2.470137026822295923e+01
6.164100439389471285e+04 2.421758851277197522e+01
6.164300206580634404e+04 2.457015528179944397e+01
6.165001101555187051e+04 2.377391956892072145e+01
6.182533923899281217e+04 2.397739992638567941e+01
6.185435437419977097e+04 2.422946769385191956e+01
6.185435483452213521e+04 2.408511809351739785e+01
6.187835225002705556e+04 2.412604774851077138e+01
6.188627989992566290e+04 2.384423318283167958e+01
6.191224604694157460e+04 2.416411296148393362e+01
6.197503389840305317e+04 2.404370346260060387e+01
6.225030793733402970e+04 2.459157742090470222e+01
6.232225730839993048e+04 2.445583051492139859e+01
6.232510294077565777e+04 2.455803075750110764e+01
6.235601343623799039e+04 2.453187484007849406e+01
6.235604648859889130e+04 2.437179156168708971e+01
6.236101827019837219e+04 2.420371827103140561e+01
6.236102062636607297e+04 2.430113871195194264e+01
6.253433712701308104e+04 2.365355576731216303e+01
6.253932591699446493e+04 2.369718435919306998e+01
6.256535109519006073e+04 2.413999567876167163e+01
6.257031646343973262e+04 2.399091637692567502e+01
6.257031690896071086e+04 2.392790380014780638e+01
6.257034489561797091e+04 2.383923051349166045e+01
6.257329343781940406e+04 2.412821829792732586e+01
6.270503677110029821e+04 2.371371169023454328e+01
6.300429575029848638e+04 2.462010352732821872e+01
6.301124917823358555e+04 2.433801466021162696e+01
6.301124962669004890e+04 2.437045124665743145e+01
6.304307912530917383e+04 2.361200011248995878e+01
6.306310572079080885e+04 2.373247100128709519e+01
6.306311920808623836e+04 2.380896599832068716e+01
6.306311965672401129e+04 2.377878201450307927e+01
6.307317238662580348e+04 2.445709616274772102e+01
6.308403986692969193e+04 2.386280766576769352e+01
6.308708887886215234e+04 2.423406421071653227e+01
6.311700349127402296e+04 2.457228158685589392e+01
6.312303152121684252e+04 2.406341329101288196e+01
6.330532028186570096e+04 2.426218620288265981e+01
6.332535072580264386e+04 2.384185851793522914e+01
6.333722537020609161e+04 2.417286158195085477e+01
6.341107620852182299e+04 2.423478003838254580e+01
6.344503057170837565e+04 2.451209916504280883e+01
6.345000889561975782e+04 2.443931764572143805e+01
6.348201811625967821e+04 2.465326539380638948e+01
6.349600715334599226e+04 2.439751307017276716e+01
6.349600760290362814e+04 2.437354492659358129e+01
6.349701046668250638e+04 2.451775594390166191e+01
6.374111879461869103e+04 2.351104052988025472e+01
6.374120339986490580e+04 2.412547892327939181e+01
6.377200652300704678e+04 2.398673573898321365e+01
6.377202750616783305e+04 2.364666886967205528e+01
6.379804431675074738e+04 2.443351354631140637e+01
6.379903416501594620e+04 2.400154814095129652e+01
6.379910050434082950e+04 2.431792535526691168e+01
6.382304481672891416e+04 2.441088946084876454e+01
6.383399307361649699e+04 2.432549645860491694e+01
6.383399448975754058e+04 2.409521064243402577e+01
